compound,agl_thermal_conductivity_300K,natoms,agl_bulk_modulus_static_300K,ael_poisson_ratio,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_thermal_expansion_300K,density,Egap,Bravais_lattice_lattice_type,ael_speed_sound_average
In16O24,1.63955,40,144.68,0.319054,412.971,2.20043,112.734,4.36777e-05,6.8671,1.1117,BCC,3242.69
O12Sr4Tb4,1.6612,20,95.5051,0.339322,314.079,1.95976,58.6207,5.05921e-05,6.05535,0.0,ORC,2636.29
Cd2O2,1.66417,4,87.9671,0.399725,229.956,2.18795,12.1468,6.11897e-05,6.28799,0.0,HEX,1942.64
N8Ni4O24,1.67057,36,132.098,0.357672,557.813,2.11036,94.3997,4.78591e-05,2.8443,3.2388,CUB,2449.15
Au2O4Rb2,1.67784,8,59.6218,0.305435,257.057,2.36253,24.4057,7.24858e-05,5.67883,1.7621,ORCC,1620.88
Au2In2O4,1.704,8,116.286,0.365967,260.889,2.34264,24.0558,5.4812e-05,9.39442,0.1328,HEX,2103.89
O12Pb4Sr4,1.72959,20,100.275,0.295356,340.156,2.28552,58.7919,5.95871e-05,7.41335,0.7905,ORC,2842.9
O28P8Th4,1.73068,40,125.712,0.368308,405.963,1.92163,111.756,3.01123e-05,3.45724,5.3833,CUB,3187.9
O24Se8Sn4,1.74422,36,101.58,0.291291,449.005,2.23936,100.346,5.03959e-05,4.13452,2.0808,CUB,2405.74
K2O1,1.76563,3,23.9131,0.301853,260.787,2.09138,9.64542,0.000166916,2.29606,1.7128,FCC,2560.04
Ca1Mn7O12,1.77403,20,164.03,0.315606,565.957,2.99274,53.6838,6.32935e-05,4.84192,0.0,BCC,4135.77
Au2O4Y2,1.79906,8,109.392,0.379842,253.07,2.14774,23.9149,4.74034e-05,7.73964,2.8141,HEX,2113.43
Na2O8Pd6,1.81151,16,146.72,0.35398,378.882,2.3303,46.1321,5.24645e-05,7.09096,0.0,CUB,2918.17
Mn4O14Tl4,1.85878,22,144.668,0.29611,426.959,2.59867,62.8448,6.03319e-05,8.15424,0.0,FCC,3291.02
O8Pt6,1.8683,14,201.353,0.375487,308.031,2.39896,41.0076,3.73505e-05,11.9767,0.0,CUB,2395.9
O14Pt4Sb4,1.88474,22,160.953,0.340411,364.067,2.24919,63.3976,4.53249e-05,9.23088,0.0,FCC,3205.43
Fe2In2O6,1.88724,10,147.139,0.316767,494.532,3.60862,28.8237,7.96477e-05,5.93802,0.9602,HEX,3706.26
Ca2O8Pd6,1.90335,16,149.455,0.354964,377.853,2.32809,46.0508,4.94437e-05,7.06505,0.0,CUB,2931.33
Na6O5Pb1,1.94195,12,59.1269,0.267019,386.973,2.21677,35.7219,0.000105656,4.13182,1.1163,BCT,3119.8
Ce4O28P8,1.94692,40,132.573,0.356414,486.916,2.0497,107.863,3.2178e-05,2.93938,2.2386,CUB,3689.52
O2Pb1,1.96155,3,125.152,0.404296,231.107,2.36992,9.13418,6.02862e-05,10.0444,0.0,FCC,1806.81
O12Se4Sr4,1.96625,20,93.7696,0.324718,383.897,2.06869,57.3543,5.36779e-05,4.42482,3.8366,ORC,2272.56
Cd4O8Sn2,1.9816,14,133.082,0.350424,351.156,2.27363,40.7167,5.06671e-05,7.18237,0.3593,ORC,2673.32
Cl1O4Tl1,1.9836,6,59.8928,0.33517,285.185,2.19948,18.1523,7.72305e-05,4.27761,4.5736,FCC,1190.19
Ba3Co3O6,1.99198,12,80.9206,0.330743,309.033,2.05843,35.4788,5.86641e-05,5.38592,1.6271,HEX,2621.17
Hg4O14Sb4,2.0121,22,146.373,0.296821,397.052,2.51309,63.0366,5.04491e-05,8.56176,0.0,FCC,3139.3
O24Tb16,2.05475,40,137.756,0.306418,373.94,2.00687,113.803,3.66695e-05,7.84462,3.9046,BCC,3074.47
O2Rb1,2.06442,3,34.5302,0.324628,256.954,2.07516,9.39026,0.000123678,3.15221,0.0,BCT,1767.14
Cd4O8,2.15515,12,108.988,0.337172,363.137,2.19089,34.9502,6.14056e-05,6.14323,1.4193,CUB,2762.86
Ho16O24,2.1579,40,143.005,0.303655,374.928,1.98742,113.692,3.62613e-05,8.40769,3.9506,BCC,3057.33
Li8O8Pb2,2.23797,18,78.9391,0.258968,449.828,2.11748,51.4353,9.05592e-05,4.81814,1.4368,ORCC,3079.83
Na2O8Pt6,2.23931,16,184.629,0.340288,348.998,2.37786,46.38,4.30447e-05,11.7066,0.0,CUB,2649.09
Bi4In4O12,2.26327,20,138.981,0.322204,351.041,2.15986,57.8032,4.37935e-05,8.7703,2.494,ORC,2711.38
Cd2O8Rh4,2.28708,14,169.432,0.36926,376.089,2.25027,40.0484,4.12486e-05,7.1842,1.8886,FCC,2823.76
Ag2O4Y2,2.29628,8,98.156,0.368022,295.938,2.05254,23.6093,4.91777e-05,5.53412,2.5359,HEX,2483.02
Cl4Na4O12,2.29745,20,69.7209,0.273629,530.019,2.15438,54.3642,7.60899e-05,2.36886,5.6206,CUB,2531.72
Ca2In4O8,2.30697,14,120.275,0.351207,372.018,2.1217,40.2066,4.74923e-05,5.42539,2.1275,BCT,2990.08
Er16O24,2.30729,40,145.371,0.297774,380.965,1.97586,113.394,3.59853e-05,8.66313,3.9686,BCC,3065.73
O8Pb2Sr4,2.31137,14,92.5458,0.290148,347.157,2.23818,41.0225,5.97907e-05,6.52283,1.4054,ORC,2852.22
Bi8O12,2.31233,20,97.7811,0.277644,312.101,2.10542,58.6652,4.64846e-05,8.30837,2.5915,FCC,1429.15
Au4La4O12,2.32446,20,128.066,0.305266,354.064,2.22988,57.7636,4.35796e-05,8.07361,1.9733,ORC,2639.15
Mg2O6V2,2.32607,10,118.691,0.395441,423.019,2.06175,28.0603,4.61983e-05,2.82789,0.0,ORCC,3225.73
C1Na4O4,2.32809,9,69.5098,0.358581,439.919,1.98965,25.4854,7.41755e-05,2.09391,2.4562,BCT,2894.45
Ag2Ga2O4,2.33078,8,129.598,0.367303,338.858,2.24994,23.4502,5.57988e-05,6.99145,0.9858,HEX,2559.01
Cd4O12Sn4,2.37723,20,143.227,0.311856,416.995,2.3211,56.5423,4.80278e-05,7.10473,0.4471,ORC,3296.89
Ce1Ga1O3,2.37931,5,78.6163,0.330943,299.928,2.27813,14.8761,6.1894e-05,4.86582,0.0,CUB,2352.59
O8Pd6Sr2,2.37955,16,140.034,0.318839,394.15,2.35208,45.8203,5.08079e-05,7.52714,0.0,CUB,3107.38
O4S1Zn1,2.38717,6,97.8347,0.414084,350.902,2.00424,17.283,4.21325e-05,2.3215,4.8011,FCC,2599.82
Br4Na4O12,2.39887,20,73.0804,0.256318,482.232,2.19283,55.6567,7.18722e-05,3.17918,4.4464,CUB,2454.19
Ag4Al4O8,2.40141,16,120.008,0.346237,397.045,2.02628,45.485,4.95734e-05,5.24078,1.4608,ORC,2800.37
Ag1Na1O1,2.42368,3,51.1524,0.314308,276.191,2.25423,9.39792,0.00012223,5.28629,0.0,FCC,2339.79
Cd2In4O8,2.42846,14,127.171,0.337258,363.076,2.18534,40.3943,4.75404e-05,6.73527,1.0847,BCT,2901.46
Cd2Mn4O8,2.43845,14,131.563,0.338539,428.959,2.29446,39.5302,5.36567e-05,5.39908,0.6967,BCT,3043.79
La4O10Pd4,2.44399,18,139.714,0.328869,374.94,2.20757,51.5072,4.2069e-05,7.14268,1.8389,TET,2871.22
Ba3O1Pb1,2.4635,5,32.1449,0.213185,198.96,2.13,15.4944,8.26846e-05,6.15221,0.0,CUB,2182.71
Ag4O12Sb4,2.47447,20,127.195,0.273904,443.009,2.50439,56.2914,5.34601e-05,6.5045,0.6067,FCC,3517.84
Cr4Hg2O8,2.5102,14,151.424,0.355552,380.012,2.14452,40.0156,4.48314e-05,7.07091,1.2025,FCC,2893.52
Cu2In2O4,2.52247,8,119.296,0.360151,339.965,2.22172,23.3821,5.30502e-05,6.23075,0.4446,HEX,2700.17
Bi4O12Rh4,2.54021,20,171.947,0.329558,379.993,2.2141,57.0287,3.98419e-05,9.45276,0.9063,ORC,2894.1
As2Bi2O8,2.54877,12,152.734,0.358439,362.903,2.21221,34.5238,4.32997e-05,7.31361,2.7352,BCT,2517.79
Ba2O12Te4,2.56174,18,114.599,0.300036,402.123,2.22965,51.2,4.91517e-05,5.85455,1.7384,ORCC,2634.85
Dy8O4S8,2.56402,20,97.0595,0.300653,316.997,1.94632,58.187,3.98413e-05,6.68816,2.1691,ORC,2562.05
Bi4O14Sn4,2.57219,22,142.603,0.302113,389.854,2.23093,62.5766,4.20948e-05,7.99231,2.6269,FCC,3166.63
Bi4Mg2O12,2.57477,18,123.837,0.277856,410.832,2.34638,51.3295,5.53266e-05,7.45935,0.0,TET,3177.47
Na4Ni2O4,2.61306,10,87.5919,0.324531,443.0,2.13053,28.4327,7.74816e-05,3.76808,2.3481,ORCC,3081.28
Ag2O4Sc2,2.61324,8,112.849,0.371736,338.006,2.05732,23.273,4.91578e-05,5.20261,2.4628,HEX,2670.05
In4La4O12,2.63292,20,140.096,0.323081,389.873,2.12686,56.7492,4.05471e-05,6.90074,2.8177,ORC,3148.81
Cl1Na3O1,2.63317,5,28.9303,0.225867,373.434,2.09368,15.4267,0.000160032,2.17663,2.0952,CUB,3579.01
Ba4Mn4O12,2.63685,20,113.571,0.239317,485.858,2.56814,55.663,6.3848e-05,5.92248,0.6679,HEX,3736.76
O24Y16,2.64266,40,136.09,0.303629,473.927,1.98263,108.704,3.53272e-05,4.89501,4.0551,BCC,3908.83
Bi4O14Rh4,2.65083,22,171.073,0.320155,404.959,2.22898,62.0841,3.95615e-05,8.71659,0.0,FCC,3117.2
