Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Cs2Fe2O4,3,67.1859,4.41627,24.1707,235.027,2.01325,1.7527,0.390363,6.00E-05,8,2364.32,1.23136
Mg4O8,2,129.836,3.18346,26.8705,783.681,1.9666,3.7333,0.230716,4.65E-05,12,5628.97,9.78385
Mn2O6Y2,4,145.057,4.88724,26.8985,503.884,2.12347,0,0.312393,4.12E-05,10,4044.68,5.55972
Ba1O3Zr1,2,142.409,5.95313,13.3638,508.052,2.10688,3.0367,0.24418,3.50E-05,5,4284.51,14.012
O6Sr2Zr2,1,149.644,5.24499,25.8846,563.091,2.05282,3.58,0.247789,3.37E-05,10,4465.8,10.1876
H4In4O8,2,153.727,6.35968,42.5378,538.785,2.12241,1.7219,0.286439,5.17E-05,16,3795.84,4.3398
Bi4Fe4O12,6,182.957,8.31948,53.0247,491.004,1.42213,1.341,0.313542,2.06E-05,20,3143.67,12.5194
Ge4O8,6,212.226,6.05249,28.7093,694.254,2.33725,1.4607,0.260029,3.73E-05,12,4973.72,8.57184
Ge3O9Sr3,4,99.9023,4.177,42.2892,417.892,2.10624,2.9506,0.313488,4.90E-05,15,2656.7,2.89562
Bi1Ga1O3,2,165.596,9.24355,13.8439,446.933,2.12474,1.2959,0.27739,4.12E-05,5,3474.21,10.1276
Ba1O2,1,72.9023,5.41233,8.80885,352.112,2.15098,2.2186,0.265379,6.81E-05,3,2896.65,6.66459
Al4O8Pb2,7,119.284,5.2348,37.8013,491.021,1.92899,3.9547,0.255532,4.04E-05,14,2993.83,6.38406
Al4O10Si2,7,216.093,3.54175,32.6124,886.232,1.9362,5.4565,0.271903,2.61E-05,16,6265.43,12.8372
O3Sr1Tc1,2,155.055,5.88337,13.0536,540.984,1.80235,0.1122,0.263449,3.14E-05,5,4374.6,19.1747
As4O12Sr2,4,141.144,4.73947,47.5068,546.954,2.28067,3.2419,0.281675,4.47E-05,18,3772.92,3.96712
O4Re2,9,274.144,10.7534,15.8855,516.875,2.23451,0,0.294033,2.63E-05,6,3866.47,13.6076
O8Sb2V2,1,184.571,5.69746,29.5337,647.19,2.19186,0.2038,0.245302,3.46E-05,12,4675.34,9.59146
Na2O4,6,53.4814,2.19611,17.1688,460.793,2.03472,0,0.301094,0.000104855,6,2853.37,3.22926
O14Ru4Y4,3,185.409,6.01864,57.5,546.998,2.13296,0.5591,0.29575,3.33E-05,22,4203.77,4.75822
Mg2O12Sb4,9,172.722,5.75937,45.5652,613.893,2.382,1.0418,0.249984,4.07E-05,18,4523.8,5.37528
O28P8Si4,2,204.996,2.90263,77.3967,943.892,2.0385,5.4705,0.249554,2.25E-05,40,5821.01,8.01906
O9W3,4,199.588,6.19541,30.1848,600.095,2.1088,0.7586,0.23539,2.34E-05,12,4649.6,13.4881
Mn4O14Tl4,3,144.668,8.15424,62.8448,426.959,2.59867,0,0.29611,6.03E-05,22,3291.02,1.85878
Co4O12Se4,6,139.755,5.23267,52.8131,541.148,2.06943,3.1502,0.276703,4.51E-05,20,3272.96,4.29365
Ba1Nb1O3,2,161.018,6.51022,13.5006,487.92,2.12842,0,0.279955,3.44E-05,5,3985.73,11.8894
Li8O8Pb2,7,78.9391,4.81814,51.4353,449.828,2.11748,1.4368,0.258968,9.06E-05,18,3079.83,2.23797
O1Rb2,3,19.6474,3.81374,10.0735,154.993,2.1903,1.3159,0.345643,0.00019038,3,1569.5,0.70091
Ni2O12Sb4,9,180.043,6.3481,46.7844,571.101,2.40259,0.8785,0.270642,4.08E-05,18,4224.3,4.63346
Li2O8V4,3,173.557,3.91664,32.1628,743.263,2.03392,0,0.265961,3.49E-05,14,4760.23,9.36476
Al8O12,6,225.147,3.95526,38.3429,956.022,1.92314,5.3126,0.238396,2.58E-05,20,6661.64,13.7281
La4O10Pd4,9,139.714,7.14268,51.5072,374.94,2.20757,1.8389,0.328869,4.21E-05,18,2871.22,2.44399
O4Ti2,1,192.444,3.63372,14.668,647.977,1.98136,2.5528,0.331091,2.83E-05,6,4640.64,13.0947
Cd2Ga4O8,3,151.688,6.35358,39.2548,426.849,2.14527,1.7656,0.342291,4.58E-05,14,3245.01,3.00631
O2Pb1,3,125.152,10.0444,9.13418,231.107,2.36992,0,0.404296,6.03E-05,3,1806.81,1.96155
Ga2Ho6O12,7,153.666,8.22984,56.1451,407.917,2.01757,3.5973,0.303375,3.78E-05,20,3056.08,3.59613
O1Zn1,3,127.424,5.93636,5.62522,420.86,1.9467,1.6841,0.333697,5.15E-05,2,3196.21,11.632
Na1O3Ta1,2,184.269,6.55803,12.8689,569.057,2.05745,2.5032,0.257092,3.08E-05,5,4499.54,17.7321
Ce1Ga1O3,2,78.6163,4.86582,14.8761,299.928,2.27813,0,0.330943,6.19E-05,5,2352.59,2.37931
Mn2Na2O4,6,113.56,4.00704,20.1301,642.888,2.29858,1.0842,0.219164,6.03E-05,8,4284.01,7.76154
Mg2O6Si2,7,219.561,3.97015,20.478,883.298,2.01408,4.6369,0.268522,3.02E-05,10,5749.19,15.2027
Dy2O8V2,1,157.745,5.5842,32.7461,463.08,1.96983,2.9629,0.326667,3.39E-05,12,3273.33,5.50685
Hf4La4O14,3,168.003,7.73588,59.8796,465.086,2.0226,4.4648,0.26995,3.07E-05,22,3730.17,5.26227
Ca1O3Sn1,2,129.015,4.8952,13.4032,520.868,2.27409,0.6888,0.270728,4.60E-05,5,4306.76,9.29177
Ag4O4Rb4,1,30.841,4.47728,38.6945,197.895,2.35511,1.4461,0.314963,0.000130678,12,1646.41,0.545209
Be4O4,9,187.041,2.8565,13.206,1114.27,1.75149,7.0887,0.22037,2.84E-05,8,7532.2,28.662
Ca3Ge1O1,2,54.2409,3.26348,14.077,444.061,2.02049,0,0.169929,6.69E-05,5,4270.34,8.64534
Mg4O8Sn2,3,134.33,4.60609,37.2208,531.04,2.06063,1.5203,0.301591,4.67E-05,14,4031.34,4.63605
O4Rb2Sc2,4,98.6594,4.37391,21.855,483.834,2.05728,3.7087,0.252599,5.03E-05,8,3854.89,6.85733
Bi1Er2O2,1,99.2872,9.57097,14.7542,272.952,1.96145,0,0.294714,4.01E-05,5,2075.85,5.75289
Gd2O2Se1,4,108.116,7.67193,14.3595,352.033,1.95327,1.9866,0.265704,3.87E-05,5,3011.31,8.95983
Cr2O8Tb2,1,150.474,5.5207,32.2544,497.909,2.05716,0.1927,0.295242,3.65E-05,12,3553.81,6.18622
Ba1O1,3,64.585,5.75725,5.97004,287.913,2.14322,2.0888,0.275697,6.10E-05,2,2756.73,7.09175
Li2Nb2O4,4,202.54,5.56259,18.2891,747.139,2.04858,1.6572,0.229181,3.19E-05,8,4727.73,17.7999
Mg2O8Rh4,3,182.78,6.02846,38.0571,482.016,2.20242,2.1913,0.342176,3.87E-05,14,3449.92,3.77398
Al2O8P2,4,127.267,1.88752,30.293,596.873,1.89534,5.3305,0.353801,2.87E-05,12,5006.68,6.164
Ag1Nb1O3,2,182.054,6.45335,13.2952,515.887,2.12024,1.7706,0.297461,3.31E-05,5,4067.53,12.2468
Cl1O4Tl1,3,59.8928,4.27761,18.1523,285.185,2.19948,4.5736,0.33517,7.72E-05,6,1190.19,1.9836
H2In2O4,6,149.75,6.11075,21.5261,516.98,2.1279,2.0422,0.299859,5.18E-05,8,3721.04,6.12877
Au2In2O4,4,116.286,9.39442,24.0558,260.889,2.34264,0.1328,0.365967,5.48E-05,8,2103.89,1.704
Ba2O2,4,63.0082,5.9412,12.0699,257.035,2.10698,2.3603,0.313733,6.46E-05,4,2395.79,3.25459
Hf4Ho4O14,3,185.617,9.21326,59.6499,471.953,1.98485,3.1166,0.263298,3.04E-05,22,3548.74,5.91332
Mn4O14Sb4,3,156.427,5.67964,57.7071,561.883,2.43259,0,0.26177,4.49E-05,22,4300.34,3.67755
Ca3O1Pb1,2,48.4151,4.90302,14.7825,334.014,2.03197,0,0.168759,7.29E-05,5,3267.18,6.14242
Co2K2O4,9,87.1187,3.62988,22.7412,418.834,2.08644,1.0851,0.324819,6.25E-05,8,2905.17,3.41067
Ba1Nb7O9,9,208.417,6.85988,42.7573,600.967,2.03148,0,0.244643,2.52E-05,17,4640.78,10.4578
Ba3O1Sn1,2,34.2582,5.37215,15.3554,217.971,2.09528,0,0.217617,7.66E-05,5,2386.43,2.87552
C2O4,9,98.8897,1.47602,14.1036,707.019,1.77028,6.464,0.30703,3.44E-05,6,1366.42,13.3189
Ba1O3Pu1,2,114.665,8.30831,14.4916,331.063,1.99449,0,0.296076,4.04E-05,5,2871.9,7.02168
Al2O6Y2,4,165.987,4.50072,25.068,613.087,1.95989,3.5012,0.288037,3.33E-05,10,4707.14,9.92536
Al2O4Rb2,3,87.0913,3.596,22.3192,437.139,1.92656,3.3753,0.29825,5.04E-05,8,3778.17,5.31359
Cd4O12Sn4,6,143.227,7.10473,56.5423,416.995,2.3211,0.4471,0.311856,4.80E-05,20,3296.89,2.37723
O8P2Tb2,1,179.037,5.67261,31.4713,538.082,2.03167,5.8763,0.30563,3.28E-05,12,3579.46,7.14384
Ba1Fe1O3,2,112.258,6.1263,13.9459,466.137,2.32479,0,0.246336,5.99E-05,5,3804.78,7.22743
O4,4,99.5079,2.24406,10.3688,593.895,2.11692,0,0.331928,6.28E-05,4,1988.32,6.85764
O2Ti6,4,147.315,4.49022,21.813,463.026,1.92157,0,0.342659,3.30E-05,8,3593.98,6.73611
Cs2Cu2O4,7,51.9207,4.22102,24.4256,261.993,2.23128,1.2828,0.329219,7.96E-05,8,1850.41,1.45598
O12Os4Rb2,3,151.303,6.87568,47.6494,513.9,1.83703,0,0.229736,2.92E-05,18,3638.5,9.32515
O4Ta2,9,244.013,9.65966,16.057,491.903,2.05036,0,0.300281,2.53E-05,6,3776.45,14.1696
Gd4O14Zr4,3,171.093,6.88743,60.7452,436.106,1.96407,0.1483,0.328497,3.25E-05,22,3454.95,3.66031
O1Sn1Sr3,2,41.3158,4.73595,15.0382,285.887,2.06356,0,0.188473,7.38E-05,5,2972.25,4.58204
Cd4O8,2,108.988,6.14323,34.9502,363.137,2.19089,1.4193,0.337172,6.14E-05,12,2762.86,2.15515
Cr2O4,9,187.317,4.65182,14.3792,701.352,2.52754,0,0.2774,4.38E-05,6,5154.96,9.66821
Cu2O3Sr1,7,104.741,5.3465,16.9738,424.165,2.13458,0,0.295005,5.72E-05,6,3207.39,5.34777
Mn4O14Y4,3,162.857,5.22444,55.2608,626.856,2.32621,0.8556,0.252137,4.22E-05,22,4887.82,4.72584
Ca2O6Si2,9,203,4.10812,20.5183,882.199,2.08098,3.5468,0.228838,3.02E-05,10,6447.63,16.9549
Ga1O3Pr1,2,103.733,5.28417,14.3461,370.09,2.02322,0.6346,0.324064,4.71E-05,5,3156.27,5.63216
In2Li2O4,1,129.443,5.69821,21.3016,539.241,2.153,2.0245,0.252864,5.36E-05,8,3452.57,7.31391
Co1O1,3,121.364,4.99028,5.74917,374.876,2.03108,0.873,0.374366,5.28E-05,2,2898.06,7.10625
Fe1La1O3,2,162.396,6.40838,13.1908,534.101,2.06633,0.5431,0.267289,3.67E-05,5,4165.05,13.9237
Mo2Na4O8,3,117.071,3.4773,34.8277,635.818,2.04279,4.28,0.232015,4.19E-05,14,3403.18,7.64514
Dy2O8P2,1,181.033,5.82753,31.5317,535.097,2.02239,5.9062,0.306941,3.28E-05,12,3564.59,7.16596
Li4Mn4O8,1,134.591,4.01866,38.238,711.258,2.24776,1.2158,0.235106,5.54E-05,16,4422.92,5.61154
Nb2O4,9,231.909,5.72086,15.0241,608.003,2.04394,0,0.309197,2.49E-05,6,4678.01,15.7693
Ba4O12Ru4,4,139.889,6.59108,56.2886,418.122,2.26664,0,0.307034,4.32E-05,20,2952.43,2.67391
Ga2Gd6O12,7,141.697,7.46209,56.3692,399.114,1.99538,3.5087,0.30725,3.83E-05,20,3062.22,3.39673
Bi4O12Rh4,6,171.947,9.45276,57.0287,379.993,2.2141,0.9063,0.329558,3.98E-05,20,2894.1,2.54021
Bi1Ho2O2,1,98.0588,9.3798,14.7357,278.066,1.96598,0,0.288669,4.02E-05,5,2109.59,6.01931
In4La4O12,6,140.096,6.90074,56.7492,389.873,2.12686,2.8177,0.323081,4.05E-05,20,3148.81,2.63292
O1Yb1,3,97.0198,10.756,5.78979,363.136,2.00736,1.0945,0.180099,5.73E-05,2,2846.32,17.4662
Nb5O9Sr2,9,188.713,6.10834,41.0996,569.861,2.04825,0,0.270122,2.86E-05,16,4400.99,8.16702
O2Tb2Te1,1,103.003,8.07459,14.5798,311.045,1.98815,1.1749,0.287044,3.93E-05,5,2438.64,6.81717
Hg1O2Rb2,1,33.8622,5.14954,15.9102,207.833,2.33455,2.0066,0.284848,0.00011613,5,1644.52,1.33742
Cl1Na3O1,2,28.9303,2.17663,15.4267,373.434,2.09368,2.0952,0.225867,0.000160032,5,3579.01,2.63317
Dy4O14Sn4,3,157.991,7.54439,60.1346,468.02,2.14457,2.2087,0.270836,3.76E-05,22,3722.4,4.15721
Cu6O8Pb1,3,111.957,5.78034,43.8627,353.842,2.27498,0.1957,0.354609,5.92E-05,15,2847.34,1.60526
Gd1O1,3,97.0255,7.35262,5.86216,294.045,1.89963,0,0.314818,4.04E-05,2,2670.09,10.6193
Ca4Nb4O14,3,171.41,4.29127,51.7565,705,2.03167,1.7677,0.23249,2.85E-05,22,5091.05,8.92748
K1O3Ta1,2,178.57,6.73174,12.7992,579.873,2.10432,2.3227,0.230611,3.12E-05,5,4650.23,19.2577
Ce2O4,9,147.409,5.81356,16.8666,398.992,2.05283,2.4966,0.339159,3.28E-05,6,3244.26,6.72636
Nb1O3Sr1,2,165.949,5.612,13.3591,505.937,2.0631,0,0.305805,3.36E-05,5,4050.54,11.4654
La4O14Zr4,3,160.045,5.78358,58.4752,512.047,2.03644,3.7972,0.276298,3.10E-05,22,4122.33,5.3462
La2O3,4,88.267,4.59725,14.6761,293.963,2.06919,1.6,0.352649,3.97E-05,5,2805.04,3.83825
O6Sn2Sr2,1,123.246,5.92798,27.3271,490.157,2.31156,1.1654,0.242096,4.91E-05,10,4059.7,5.80732
Co2O12Sb4,9,172.322,6.28068,46.2611,575.084,2.03875,0.7899,0.272532,3.55E-05,18,4158.96,6.78386
O6Sr2Ti2,1,159.72,4.88243,24.5487,648.108,2.03896,2.3866,0.235032,3.41E-05,10,5114.42,12.185
Bi4O14Sn4,3,142.603,7.99231,62.5766,389.854,2.23093,2.6269,0.302113,4.21E-05,22,3166.63,2.57219
Ge4O24Se8,2,121.719,4.34946,92.6766,589.136,2.21321,2.7302,0.227098,4.59E-05,36,3083.66,3.33296
Bi4O6,2,100.226,8.83343,30.4162,184.006,2.09853,0,0.41891,5.03E-05,10,1650.26,0.741669
O8Rh4Zn2,3,190.67,7.06112,38.1606,476.918,2.21472,2.0292,0.331021,3.84E-05,14,3377.56,4.08247
Ag2Co2O4,4,153.361,7.25634,23.0311,374.916,2.22975,1.8904,0.364064,5.04E-05,8,2714.4,2.95475
Cr4Mg2O8,3,169.972,4.18264,34.7063,636.132,2.04676,2.7649,0.305025,3.72E-05,14,4623.25,6.52937
Mg4O12Se4,6,132.507,4.25523,49.4655,646.13,2.03,4.0086,0.231982,4.35E-05,20,3826.79,6.21231
Dy4O14Tc4,3,187.031,7.63422,58.8015,505.984,2.11024,1.3957,0.280721,3.29E-05,22,3881.58,5.00051
Cd4O8Si2,3,154.996,6.1915,39.1009,432.934,2.16722,1.1565,0.341836,4.40E-05,14,3238.14,3.10276
Mg2O6V2,7,118.691,2.82789,28.0603,423.019,2.06175,0,0.395441,4.62E-05,10,3225.73,2.32607
Hg4O14Sb4,3,146.373,8.56176,63.0366,397.052,2.51309,0,0.296821,5.04E-05,22,3139.3,2.0121
Co4O14Sb4,3,164.945,5.98438,57.5756,561.802,2.38557,0.9008,0.267117,4.31E-05,22,4126.02,3.85683
Ag2Ga2O4,4,129.598,6.99145,23.4502,338.858,2.24994,0.9858,0.367303,5.58E-05,8,2559.01,2.33078
Bi1In1O3,2,132.827,8.608,14.4817,348.998,2.17887,0.2241,0.317674,4.54E-05,5,2835.39,5.54031
Ag2O4Sc2,4,112.849,5.20261,23.273,338.006,2.05732,2.4628,0.371736,4.92E-05,8,2670.05,2.61324
O8P2Pr2,1,162.138,4.78151,32.3375,488.945,2.01814,4.0572,0.33873,3.36E-05,12,3306.88,5.22204
Ba2C8O8,1,123.483,3.16728,46.7269,557.011,1.8444,2.5632,0.312072,3.64E-05,18,2743.98,5.15933
Ba6O10Si2,1,94.7961,5.52731,51.2997,393.093,2.08864,3.5267,0.267945,4.95E-05,18,2970.58,3.05649
La10O3Si8,4,78.6931,5.53578,60.6177,340.911,1.93837,0,0.244807,4.12E-05,21,3249.21,3.21651
Au4O4Rb4,1,40.5837,6.51611,38.0423,191.987,2.405,1.683,0.309732,0.000102381,12,1431.19,0.672033
Ba1Cu3O4,7,96.7633,5.26864,22.9837,431.178,2.57834,0.6706,0.287911,7.01E-05,8,2984.71,3.57166
O3Sr1Ti1,2,159.385,4.86033,12.079,670.946,2.04082,2.29,0.217688,3.35E-05,5,5164.65,21.4744
La3O12P3,4,127.694,3.84544,47.3946,532.135,2.02709,5.2512,0.281289,3.39E-05,18,3790.88,5.40539
Cr4Hg2O8,3,151.424,7.07091,40.0156,380.012,2.14452,1.2025,0.355552,4.48E-05,14,2893.52,2.5102
Dy4O14Ti4,3,185.215,6.62585,56.7848,563.873,1.98306,3.2411,0.267179,3.11E-05,22,4309.14,6.58296
Ge2Li4O6,7,109.256,3.34906,30.2479,632.103,2.07511,3.5103,0.2609,5.80E-05,12,3770.78,5.67772
As2Dy2O8,1,155.687,6.15381,32.8239,468.138,2.15806,3.629,0.305848,3.82E-05,12,3306.64,5.04372
Ga2In2O6,4,162.978,6.54426,27.1792,486.162,2.15517,1.5028,0.306703,4.15E-05,10,3778.8,5.6648
Ca4O12Rh4,6,159.993,5.39781,53.1771,529.806,2.22486,0.2367,0.305769,4.28E-05,20,3994.37,3.53915
Hf1O3Pb1,2,160.132,10.0371,14.0847,397.035,2.06793,2.4164,0.275017,3.48E-05,5,3230.26,10.6517
Al2Au2O4,4,164.525,9.25458,22.6833,400.919,2.17875,0.9622,0.318378,4.48E-05,8,2971.51,4.9083
O14Pt4Sb4,3,160.953,9.23088,63.3976,364.067,2.24919,0,0.340411,4.53E-05,22,3205.43,1.88474
Bi1Co1O3,9,130.719,7.58313,14.5349,333.099,2.05474,0.6847,0.351931,4.53E-05,5,1961.88,4.5882
Bi1O2Y2,1,94.0575,6.71986,14.5639,316.017,1.96785,0,0.292299,4.05E-05,5,2435.72,6.52619
Ag2In2O4,4,103.268,6.88202,24.0486,270.026,2.27581,0.6242,0.380112,5.93E-05,8,2155.67,1.49327
O14Y4Zr4,3,173.61,5.25984,56.0792,583.924,2.00198,2.7011,0.271695,2.96E-05,22,4444.84,6.58133
O6Re2,4,249.637,8.21381,19.5407,647.878,2.1704,0,0.227756,2.45E-05,8,3969.38,19.32
O1Ta4,9,205.203,15.2225,14.5963,275,1.9503,0,0.356203,2.36E-05,5,2269.9,7.12301
Al4O8Zn2,3,188.451,4.57291,31.7367,757.013,1.91026,4.4888,0.2558,3.27E-05,14,5349.62,11.6634
Ni2O12Ta4,9,228.417,8.11914,47.0091,540.12,2.03831,2.8841,0.290689,2.71E-05,18,3674.85,7.28957
Cd4O8Sn2,6,133.082,7.18237,40.7167,351.156,2.27363,0.3593,0.350424,5.07E-05,14,2673.32,1.9816
O8Pb2Sr4,6,92.5458,6.52283,41.0225,347.157,2.23818,1.4054,0.290148,5.98E-05,14,2852.22,2.31137
Ge2Mg4O8,3,156.657,4.22161,32.9208,717.119,2.08234,3.0137,0.243537,4.06E-05,14,5274.47,8.56027
As2O8Tb2,1,153.946,6.01518,32.9147,463.031,2.15877,3.6548,0.310807,3.84E-05,12,3298.54,4.84113
Na1Nb1O3,2,174.188,4.29332,11.9962,678.807,2.0755,1.8358,0.259389,3.07E-05,5,5395.58,19.219
Ca1O3Ti1,2,164.107,3.74852,11.5432,733.176,1.99003,2.3664,0.249325,3.16E-05,5,5741.31,21.6331
Bi1Dy2O2,1,96.995,9.1897,14.7355,277.981,1.96273,0,0.289566,4.01E-05,5,2128.31,6.01725
Ca4O8Pb2,6,106.68,5.83151,39.7953,413.107,2.18196,1.4857,0.287493,5.56E-05,14,3271.71,3.10819
Ca2O6Ti2,1,167.779,3.84548,22.7278,754.127,2.00344,2.7874,0.239333,3.14E-05,10,5720.6,14.4852
Bi4Ga4O12,6,130.857,7.54535,56.4021,406.865,2.0925,1.9081,0.281466,4.28E-05,20,2639.56,3.34915
O4Os2,9,270.018,11.1687,16.336,464.095,2.20818,0,0.325263,2.77E-05,6,3425.1,10.2115
Al8O20Si4,6,185.652,3.05912,64.4979,898.82,1.92413,4.8388,0.24368,2.57E-05,32,5911.45,8.99218
Cs6Ni2O4,9,27.3577,4.68948,38.5288,171.929,2.23058,1.3118,0.32228,0.00012407,12,1563.44,0.488223
Al8C2O8,7,143.79,2.67094,41.13,745.098,1.87543,3.816,0.277917,3.18E-05,18,5501.9,8.40465
O12Si6,4,107.923,1.54727,42.3908,699.912,1.89893,5.4901,0.286619,2.63E-05,18,5664.57,7.91396
O1Sc1,3,145.014,4.28234,5.08991,612.049,2.32961,0,0.27327,4.69E-05,2,4798.6,18.4002
Al4Gd4O12,6,190.221,7.22382,50.6796,595.98,1.96091,4.9566,0.247669,3.34E-05,20,4272.38,7.79564
Al1La1O3,2,184.401,6.31276,12.2563,647.861,2.01793,3.1268,0.224046,3.25E-05,5,4973.68,22.272
Na2Nb2O6,9,177.94,4.42281,22.1297,786.834,2.08414,1.8633,0.190913,2.86E-05,10,5314.11,18.5039
O1U1,3,113.812,12.5121,5.90503,269.044,1.83502,0,0.306193,4.01E-05,2,2218.55,12.2363
Al4Mg2O8,3,180.56,3.46739,30.4768,809.086,1.90248,5.1166,0.273144,3.19E-05,14,5830.03,11.24
O1V1,3,152.36,5.01979,5.06669,607.913,2.06649,0.5352,0.270069,4.25E-05,2,4497.18,25.0924
O6Rb4Tb2,7,49.1524,4.70609,36.4933,238.924,1.92586,0,0.335463,7.45E-05,12,1726.99,1.27197
Ca1O3Si1,2,203.749,4.11037,10.0434,905.683,2.07613,3.4645,0.21637,2.94E-05,5,6628.32,29.3617
La4O14Sn4,3,141.129,6.30751,60.688,454.023,2.20506,2.0853,0.282543,3.93E-05,22,3767.26,3.44255
O4Pt2,2,134.219,8.4695,18.4381,136.007,2.31201,0,0.470661,4.91E-05,6,1089.3,0.262206
O14Sn4Tb4,3,156.873,7.41013,60.1677,468.076,2.14609,2.2244,0.272806,3.77E-05,22,3739.03,4.11772
Ga4Mg2O8,3,164.183,5.06641,35.9677,583.895,2.06986,3.291,0.298482,4.11E-05,14,4291.26,5.80634
Cu2O4Sr2,7,97.3228,5.18432,22.7595,413.792,2.15882,0,0.287517,5.83E-05,8,3206.39,4.29353
Cr2Ho2O8,1,153.683,5.76995,32.5096,483.01,2.05185,0.19,0.305083,3.67E-05,12,3442.6,5.7556
Er4O14Sn4,3,159.914,7.76459,60.1182,468.959,2.13283,2.173,0.269272,3.75E-05,22,3695.24,4.27273
Cd1O6Pt3,7,192.442,10.8692,28.5854,377.132,2.3447,0.5795,0.332102,3.95E-05,10,2852.45,3.78171
Ni2O2Zr6,7,148.305,7.1175,28.0656,396.917,1.95239,0,0.308896,3.11E-05,10,3349.21,6.3661
O12Sr4Tb4,6,95.5051,6.05535,58.6207,314.079,1.95976,0,0.339322,5.06E-05,20,2636.29,1.6612
Ho4O14Sn4,3,158.78,7.65603,60.098,469.877,2.13811,2.1953,0.268858,3.76E-05,22,3719.41,4.25834
Ba1Nb4O6,9,196.584,6.77116,28.0621,579.942,2.04514,0,0.248395,2.69E-05,11,4445.91,12.4976
Br1O1Rb3,2,13.8761,3.37381,16.9955,167.83,2.19783,0.4057,0.245313,0.000212914,5,1894.5,0.773636
O2Pt2,9,182.58,13.2145,11.8866,268.068,2.3898,0.1971,0.382775,4.04E-05,4,2070.68,3.28977
Bi2O2Se1,1,96.5786,9.18333,14.9318,251.067,2.09493,0.4046,0.331572,4.65E-05,5,1958.38,3.51302
Ca4O14Ta4,3,179.833,6.24837,55.4063,603.043,2.01917,2.4623,0.229612,2.89E-05,22,4334.64,8.30922
Mg6O6,2,88.8306,2.2404,32.4177,502.877,1.88942,2.8856,0.343819,5.23E-05,12,4178.66,3.47269
O2Pb2,9,64.6239,8.32366,12.0913,239.04,2.09353,1.6215,0.2789,6.03E-05,4,1235.5,3.91442
O4Ru2,6,240.037,6.80223,15.3475,581.027,2.22537,0,0.313798,2.99E-05,6,4308.97,11.7534
Ba4Ce4O12,9,114.566,6.07561,57.076,374.065,2.08566,2.8768,0.302445,4.00E-05,20,3202.56,2.79546
As8O12,3,84.8991,3.38715,50.7266,604.907,2.02312,4.0171,0.123166,4.23E-05,20,1354.02,7.92942
O12Sn4Sr4,6,122.627,5.9135,55.729,451.164,2.2935,1.4249,0.276517,4.98E-05,20,3709.15,2.90029
In4Mg2O8,3,136.769,5.75203,38.4813,467.106,2.12797,1.9939,0.29984,4.46E-05,14,3559.01,4.1691
Br1K3O1,2,16.6486,2.39653,16.5417,235.057,2.13584,0.8846,0.231255,0.000196902,5,2510.72,1.29405
La1Mn1O3,2,158.135,6.45258,13.5245,496.996,2.22567,0,0.285947,4.17E-05,5,3909.14,9.48942
Ca3O12S3,4,112.131,2.4795,43.6306,674.113,2.08715,5.6793,0.259592,4.03E-05,18,4044.67,5.81437
Cd1O1,3,119.44,7.88122,5.87818,334.049,2.27237,0,0.335391,5.67E-05,2,2671.63,6.92665
Ca2O8Pd6,2,149.455,7.06505,46.0508,377.853,2.32809,0,0.354964,4.94E-05,16,2931.33,1.90335
Mn1O3Sr1,2,114.794,5.38267,13.6335,541.336,2.67903,0,0.220518,7.26E-05,5,4494.4,6.37594
O3Sn1Sr1,2,123.381,5.83693,13.7134,485.145,2.34861,0.3313,0.250559,4.94E-05,5,4081.44,8.68576
C2K8O8,9,64.9244,2.68394,51.7553,415.74,2.07922,3.0066,0.320248,7.81E-05,18,2512.33,1.59611
O14V4Y4,3,186.192,5.014,54.6916,625.851,2.03061,0.8073,0.285263,3.13E-05,22,4775.38,6.22808
Al4Cd2O8,3,168.776,5.03801,36.6475,547.086,1.97896,2.8029,0.324604,3.86E-05,14,4052.86,5.34032
O6Pt3Zn1,7,201.563,10.7992,28.7814,357.908,2.29863,0.5419,0.360084,3.93E-05,10,2560.9,3.12374
Cd4O14Ta4,3,186.161,7.93969,58.8812,499.029,2.06734,2.1174,0.269643,3.06E-05,22,3560.89,5.6234
Ca1O1,3,99.5719,3.28516,5.05334,619.873,2.06248,3.6357,0.216153,5.00E-05,2,5188.79,24.3778
O28P8Th4,2,125.712,3.45724,111.756,405.963,1.92163,5.3833,0.368308,3.01E-05,40,3187.9,1.73068
Cd4O12V4,6,181.275,6.29411,52.6891,537.872,2.12647,0.4482,0.301575,3.78E-05,20,3924.88,4.43936
Dy4Hf4O14,3,184.48,9.10692,59.6344,473.059,1.988,3.2266,0.263349,3.04E-05,22,3580.41,5.90862
O8Re4,6,297.017,11.1626,30.6759,575.033,2.17979,0,0.265361,2.38E-05,12,4026.43,12.2838
Bi4O14Pt4,3,171.618,10.4695,62.7359,379.919,2.2626,1.0682,0.30718,3.89E-05,22,2992.37,2.68623
Cd4O14Sb4,3,151.781,6.79017,60.1907,489.061,2.4621,0.4798,0.272074,4.70E-05,22,3818.83,2.9836
