Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Ge1O3Pb1,2,145.267,9.19954,14.0576,446.123,2.45766,0,0.250165,5.47E-05,5,3510.19,7.38513
I1K1O3,2,103.197,4.79478,14.1431,457.167,2.5939,0,0.275584,6.57E-05,5,3860.4,4.97774
Cl1K1O4,3,62.9328,2.08571,16.9362,455.044,2.20449,5.1425,0.310923,7.28E-05,6,1913.44,3.59182
Er4O14Ru4,3,190.688,8.09935,59.5573,482.938,2.12263,0.555,0.295739,3.41E-05,22,3660.95,4.33276
Cu4O2,2,97.0286,6.01944,18.7031,155.957,2.25972,0.6558,0.466027,7.51E-05,6,1237.21,0.253177
O24Se8Sn4,2,101.58,4.13452,100.346,449.005,2.23936,2.0808,0.291291,5.04E-05,36,2405.74,1.74422
Ag4O12Sb4,3,127.195,6.5045,56.2914,443.009,2.50439,0.6067,0.273904,5.35E-05,20,3517.84,2.47447
Bi8O12,3,97.7811,8.30837,58.6652,312.101,2.10542,2.5915,0.277644,4.65E-05,20,1429.15,2.31233
Cr2O8P2,7,191.553,3.75947,24.7097,875.949,2.09134,1.7989,0.217925,2.81E-05,12,5033.5,16.0695
La4O12Y4,6,132.302,5.78322,55.5736,429.92,2.02115,4.5627,0.300216,3.67E-05,20,3550.18,3.70853
Co1O6Pt3,7,201.604,10.6579,28.2318,403.884,2.30266,0.5743,0.325712,3.83E-05,10,2936.66,4.44125
Br4Na4O12,2,73.0804,3.17918,55.6567,482.232,2.19283,4.4464,0.256318,7.19E-05,20,2454.19,2.39887
Fe1O3Sr1,2,122.523,5.32906,13.4222,540.973,2.41268,0,0.24144,5.99E-05,5,4254.58,8.0483
Cd2Mn4O8,1,131.563,5.39908,39.5302,428.959,2.29446,0.6967,0.338539,5.37E-05,14,3043.79,2.43845
Ca4O12Ru4,6,166.307,5.31536,52.5795,543.934,2.15204,0,0.30482,3.92E-05,20,4130.04,4.07978
Ca3O1Sn1,2,51.5487,3.69661,14.3716,393.863,1.98994,0,0.173996,6.61E-05,5,3843.1,7.7961
O3W1,2,220.607,6.7605,10.2118,576.075,2.11115,0.7294,0.269017,2.35E-05,4,4696.55,24.0636
O2Pd4,2,117.208,8.1206,18.5642,144.925,2.44995,0,0.462663,5.72E-05,6,1187.39,0.287144
Cu2Ga2O4,4,148.319,6.10941,22.2384,452.028,2.17319,1.0375,0.332897,4.92E-05,8,3355.77,4.54873
O2Rb1,1,34.5302,3.15221,9.39026,256.954,2.07516,0,0.324628,0.000123678,3,1767.14,2.06442
O12Sb4Zn2,9,176.75,6.46102,47.0107,564.175,2.40618,0.7321,0.268408,4.19E-05,18,4113.59,4.52183
Ba1Ce1O3,2,111.041,5.91108,14.2445,377.009,2.05685,2.9598,0.29591,3.96E-05,5,3326.04,7.51346
Li4O10Si4,7,139.91,2.35638,37.1231,876.304,1.94264,5.1672,0.239721,3.29E-05,18,4987.23,10.0766
O8P2Y2,1,177.315,4.12799,29.6193,636.977,2.01433,5.7982,0.300509,3.10E-05,12,4225.6,8.73884
B2Nb2O8,1,273.253,5.0852,24.6585,874.141,1.98096,2.8001,0.257305,2.22E-05,12,5890.17,19.3308
Li3O4U1,1,138.175,6.11875,20.5229,584.937,1.88842,3.0831,0.218877,4.36E-05,8,3590.01,12.9415
O12Pb4Sr4,6,100.275,7.41335,58.7919,340.156,2.28552,0.7905,0.295356,5.96E-05,20,2842.9,1.72959
Ce4O28P8,2,132.573,2.93938,107.863,486.916,2.0497,2.2386,0.356414,3.22E-05,40,3689.52,1.94692
Ag6O8P2,2,102.523,6.08172,47.6992,294.134,2.17823,0.8715,0.378862,6.07E-05,16,1939.43,1.07225
Ba2Bi2O6,3,100.847,7.58207,29.2553,337.016,2.26506,0,0.28029,5.21E-05,10,2959.07,3.25923
Ba4Mn4O12,4,113.571,5.92248,55.663,485.858,2.56814,0.6679,0.239317,6.38E-05,20,3736.76,2.63685
O8Ti4,6,217.216,4.09225,27.5026,739.079,1.9943,2.8179,0.300036,2.65E-05,12,5357.55,11.6067
K2O12Os4,3,153.707,6.36668,47.2682,536.122,2.06282,0,0.226849,3.22E-05,18,3735.89,7.51321
Co2O8Rh4,3,187.069,6.77222,38.5155,457.908,2.20839,1.928,0.344338,3.85E-05,14,3318.04,3.59214
O12Rh4U2,9,204.459,8.03756,49.6866,439.038,2.12026,1.4152,0.338285,3.17E-05,18,3222.26,3.82191
As2Bi2O8,1,152.734,7.31361,34.5238,362.903,2.21221,2.7352,0.358439,4.33E-05,12,2517.79,2.54877
Ca1O2,1,94.1889,3.1698,7.57765,625.799,2.0111,2.7622,0.225225,5.75E-05,3,4145.29,16.6962
Cu2O4Sc2,4,128.82,4.33637,22.1171,451.148,2.02606,2.6414,0.344831,4.40E-05,8,3521.31,4.74294
