Nitrides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Be2N4Si2,1,230.02,3.19162,12.1704,1193.75,1.87208,3.5598,0.187132,1.97E-05,8,8119.46,41.6612
Be4N8Si4,6,230.435,3.18614,24.2609,1197.03,1.87573,5.1435,0.186097,1.96E-05,16,8095.17,26.3103
Be4N4Sr2,1,114.594,3.6912,24.5758,649.855,1.79591,1.8709,0.225955,4.33E-05,10,4796.14,11.6807
Be6N4,4,199.452,2.66605,13.1933,1327.9,1.69878,3.3306,0.172959,2.18E-05,10,8932.17,38.6587
Bi1Ca3N1,2,51.4183,4.79083,14.6001,347.131,1.94452,0.3835,0.165482,6.34E-05,5,3418.95,7.62895
Bi1N1Sr3,2,40.9541,5.54748,15.0576,267.017,1.99371,0.2632,0.173951,6.92E-05,5,2811.05,4.97795
Bi1N2Th2,1,101.449,9.11138,14.716,258.023,1.89715,0,0.299511,2.96E-05,5,1927.04,6.90684
Br1H4N1,2,55.4335,2.38223,16.4998,504.897,1.64106,3.9641,0.281035,9.61E-05,6,2160.76,5.64689
C4Cd2N4,2,60.3475,2.02898,29.9682,215.001,1.76831,6.1379,0.442518,4.48E-05,10,1535.41,0.700637
C4H4N4,2,282.431,2.74144,11.2303,1634.44,1.86964,3.6444,0.187158,1.49E-05,12,9172.02,39.2886
C2Mg2N4,1,238.267,3.42943,14.0006,1054.03,1.97862,3.8502,0.25222,2.51E-05,8,6990.34,24.3982
C4N4Zn2,2,80.2678,1.9128,29.0709,315.962,1.73633,6.066,0.426934,4.23E-05,10,2080.91,1.50738
C3N4,2,372.322,3.70415,5.82025,1741.61,1.98054,2.478,0.134291,9.96E-06,7,11038.1,89.9282
C11N4,6,331.538,3.37389,15.3207,1561.19,1.92652,0,0.181728,1.28E-05,15,9703.42,39.9334
C11N4,9,387.461,3.56174,10.4887,1897.79,1.85028,2.4221,0.108828,7.60E-06,15,11971.4,77.0356
C1N2,1,386.859,3.64169,2.94611,1597.35,1.95999,0.1186,0.193454,1.09E-05,3,9987.61,127.968
C6N8,4,387.657,3.50332,13.4515,1617.89,1.8722,3.1773,0.193316,9.97E-06,14,10373.9,52.063
C2N4,9,229.035,2.55065,6.05844,1568.78,2.04063,4.6337,0.0841826,1.37E-05,6,6636.17,78.8432
C4N8,1,386.498,3.68649,10.5109,1697.68,1.96791,3.5681,0.158317,9.89E-06,12,10719.1,60.036
C6N8,3,365.447,3.91854,21.1247,1201.31,2.06362,0.8706,0.302035,2.05E-05,14,7302.24,16.5839
Ca6Cr2N6,7,100.142,3.20742,36.5632,557.167,1.95809,0.4398,0.258501,4.39E-05,14,4295.3,6.09239
Ca3Ge1N1,2,52.3289,3.06744,14.4032,384.982,1.94906,0,0.239334,6.53E-05,5,3702.57,6.13272
Ca2Ge2N4,1,128.803,4.31952,21.5322,506.109,2.09556,2.6159,0.307673,4.41E-05,8,3738.8,6.24277
Ca8H4N4,3,65.0196,2.44278,42.1021,562.883,1.8937,1.6384,0.21215,6.41E-05,16,4419.68,4.85686
Ca4I2N2,4,51.042,3.96512,23.568,335.049,2.00344,2.3546,0.235984,6.84E-05,8,3122.52,3.75076
Ca4Li4N4,6,65.3563,2.33772,32.1089,543.681,1.91469,1.3777,0.256963,7.32E-05,12,4567.93,4.27239
Ca2N2Ni2,9,99.6652,4.17261,16.3509,476.917,1.82748,0,0.28316,4.56E-05,6,3879.54,9.45342
Ca4N8O24,2,112.98,2.35409,73.3733,894.648,2.0932,3.6739,0.154564,3.93E-05,36,2406.53,6.49476
Ca3N1P1,2,59.8359,2.59976,13.4282,519.033,1.9328,0.8052,0.171245,5.58E-05,5,4962.89,11.9917
Ca3N1Pb1,2,16.8414,2.69547,15.9678,163.942,2.03597,0,0.305384,0.000125359,5,1941.81,0.877301
Ca3N1Sb1,2,23.9418,2.22391,15.3954,213.909,1.89312,0,0.315226,8.77E-05,5,2395.56,1.65547
Ca3N1Sn1,2,18.0303,2.03264,15.6712,200.097,1.93333,0,0.295998,0.000111334,5,2351.33,1.31022
Ca3N1Tl1,2,44.9243,4.62664,14.9527,297.081,1.9816,0,0.214748,7.37E-05,5,2959.79,4.5628
Ca6N6V2,7,102.146,3.12031,36.2828,564.892,1.90525,1.1093,0.258101,4.06E-05,14,4366.77,6.7652
Ca2N2Zn1,1,83.2553,3.55838,13.7984,467.901,1.97536,0.6862,0.268493,5.52E-05,5,3880.94,8.05313
Ca1N2,1,112.475,2.88393,7.60583,609.891,1.99469,0,0.289318,4.67E-05,3,4066.3,14.9832
Cd1N1Ni3,2,163.069,8.9703,14.3497,388.971,2.37204,0,0.336004,5.06E-05,5,2999.78,4.80128
Cd2N2,4,98.9635,7.4056,12.0056,228.041,1.82277,0,0.402259,5.25E-05,4,1878.52,2.237
Cd1N1,3,71.2776,6.15373,6.16672,186.109,2.23036,0,0.414466,7.25E-05,2,1487.5,1.32338
Cd1N1,3,112.986,7.81161,5.9311,323.002,2.33579,0,0.338817,6.23E-05,2,2594.17,5.80048
Ce2N2Se1,4,127.275,6.76982,14.1136,387.042,2.02409,1.0594,0.280445,3.24E-05,5,3205.78,10.1317
